Rg;Frequency;Test Level;Sensor Level;Trd Rev Pwr;Gen Out;e-field (dBµV/m);Strommessung F55;Modulation;Comment
---;MHz;V;dBµV;dBm;dBm;dBµV;dBµA;;---
1;30.0000000;1.011579;73.28762;3.800385;-21.2;87.76762;81.59009;"OFF";
1;30.3000000;1.011579;73.72374;3.471401;-21.2;88.12484;81.2611;"OFF";
1;30.6030000;1.011579;73.92532;3.222404;-21.2;88.24751;81.01211;"OFF";
1;30.9090300;1.011579;73.98212;3.043381;-21.2;88.22543;80.83308;"OFF";
1;31.2181203;1.011579;73.90903;2.814362;-21.3;88.14007;80.60406;"OFF";
1;31.5303015;1.011579;73.97291;2.675343;-21.3;88.21962;80.46504;"OFF";
1;31.8456045;1.011579;74.09214;2.55632;-21.3;88.35452;80.34602;"OFF";
1;32.1640606;1.011579;74.18434;2.417301;-21.3;88.50253;80.207;"OFF";
1;32.4857012;1.011579;73.90802;2.208282;-21.3;88.31999;79.99799;"OFF";
1;32.8105582;1.011579;67.13231;1.949192;-21.3;81.63805;79.73889;"OFF";
1;33.1386638;1.011579;71.85295;1.500099;-21.3;86.47475;79.2898;"OFF";
1;33.4700504;1.01158;72.3709;0.9110069;-21.4;87.13936;78.70071;"OFF";
1;33.8047509;1.01158;72.11758;0.4519119;-21.4;87.03269;78.24162;"OFF";
1;34.1427984;1.01158;71.81375;-0.007183075;-21.4;86.88605;77.78252;"OFF";
1;34.4842264;1.01158;72.07792;-0.4062729;-21.4;87.32185;77.38343;"OFF";
1;34.8290687;1.011579;72.08244;-0.6153374;-21.3;87.498;77.17436;"OFF";
1;35.1773593;1.011579;71.66967;-0.8543892;-21.3;87.26656;76.93531;"OFF";
1;35.5291329;1.011579;71.33664;-1.043446;-21.3;87.12427;76.74625;"OFF";
1;35.8844243;1.011579;70.83738;-1.172497;-21.3;86.81574;76.6172;"OFF";
1;36.2432685;1.01158;70.2721;-1.06155;-21.1;86.43746;76.72815;"OFF";
1;36.6057012;1.01158;69.35823;-1.010597;-21;85.7088;76.77911;"OFF";
1;36.9717582;1.01158;68.32946;-0.9995613;-21;84.86525;76.79014;"OFF";
1;37.3414758;1.01158;67.80785;-0.9285278;-21;84.50942;76.86118;"OFF";
1;37.7148906;1.01158;67.14833;-0.6174927;-20.9;84.01407;77.17221;"OFF";
1;38.0920395;1.01158;67.14938;-0.2564583;-20.9;84.17664;77.53324;"OFF";
1;38.4729599;1.011579;68.63371;0.3845749;-20.8;85.81419;78.17428;"OFF";
1;38.8576894;1.011579;71.58423;1.025711;-20.8;88.91794;78.81541;"OFF";
1;39.2462663;1.011579;72.21311;1.936901;-20.7;89.69759;79.7266;"OFF";
1;39.6387290;1.011579;71.58253;2.778091;-20.7;89.21635;80.56779;"OFF";
1;40.0351163;1.01158;72.17757;3.62928;-20.6;89.95894;81.42016;"OFF";
1;40.4354675;1.01158;72.18056;4.110474;-20.6;90.09087;81.91473;"OFF";
1;40.8398221;1.01158;71.64807;4.251678;-20.6;89.68734;82.06931;"OFF";
1;41.2482204;1.01158;71.89561;4.212891;-20.5;90.04572;82.0439;"OFF";
1;41.6607026;1.01158;73.66903;4.004105;-20.5;91.91824;81.8485;"OFF";
1;42.0773096;1.01158;76.21306;3.845322;-20.5;94.55869;81.70309;"OFF";
1;42.4980827;1.01158;75.64552;3.946533;-20.4;94.07572;81.81768;"OFF";
1;42.9230635;1.01158;70.06465;4.167652;-20.4;88.57943;82.05218;"OFF";
1;43.3522941;1.01158;68.88811;4.628712;-20.4;87.47845;82.52661;"OFF";
1;43.7858171;1.01158;71.59869;5.359768;-20.4;90.2626;83.27104;"OFF";
1;44.2236753;1.01158;72.31144;6.300831;-20.4;91.04077;84.22549;"OFF";
1;44.6659120;1.01158;74.05791;7.261887;-20.5;92.8448;85.19992;"OFF";
1;45.1125711;1.01158;76.20772;8.263073;-20.5;95.0434;86.21449;"OFF";
1;45.5636968;1.01158;77.92999;8.884266;-20.6;96.78831;86.84905;"OFF";
1;46.0193338;1.01158;79.2882;9.185459;-20.6;98.16898;87.16362;"OFF";
1;46.4795271;1.011579;79.84945;9.076656;-20.7;98.74874;87.0682;"OFF";
1;46.9443224;1.011579;79.65588;8.867821;-20.8;98.57368;86.87274;"OFF";
1;47.4137656;1.01158;77.7356;8.758949;-20.9;96.65977;86.77724;"OFF";
1;47.8879033;1.01158;75.94378;8.960083;-20.9;94.87267;86.99176;"OFF";
1;48.3667823;1.01158;76.30619;9.311214;-21;95.2325;87.35627;"OFF";
1;48.8504502;1.01158;76.97902;9.962349;-21;95.90051;88.02077;"OFF";
1;49.3389547;1.01158;77.68288;10.72351;-21;96.58582;88.79532;"OFF";
1;49.8323442;1.01158;78.18576;11.35468;-21.1;97.06407;89.43986;"OFF";
1;50.3306676;1.01158;78.36736;11.90583;-21.1;97.20074;89.9883;"OFF";
1;50.8339743;1.01158;78.02168;12.26702;-21.1;96.7998;90.33857;"OFF";
1;51.3423141;1.01158;76.70573;12.5784;-21;95.42439;90.63905;"OFF";
1;51.8557372;1.01158;74.11894;12.75979;-21;92.77612;90.80952;"OFF";
1;52.3742946;1.01158;71.91614;12.97118;-21;90.51472;91.00999;"OFF";
1;52.8980375;1.01158;70.96254;13.20256;-21;89.50366;91.23045;"OFF";
1;53.4270179;1.01158;71.85347;13.47394;-20.9;90.31908;91.49092;"OFF";
1;53.9612881;1.01158;74.03699;13.54532;-20.9;92.42275;91.55138;"OFF";
1;54.5009010;1.011579;76.37067;13.6567;-20.8;94.63998;91.65185;"OFF";
1;55.0459100;1.011579;77.24163;13.81805;-20.7;95.39144;91.80228;"OFF";
1;55.5963691;1.011579;74.65799;14.05936;-20.7;92.68632;92.03268;"OFF";
1;56.1523328;1.01158;69.24725;14.71066;-20.6;87.15656;92.67307;"OFF";
1;56.7138561;1.01158;64.17332;15.56197;-20.6;81.97018;93.51346;"OFF";
1;57.2809946;1.01158;66.3087;16.6932;-20.5;83.9865;94.63377;"OFF";
1;57.8538046;1.01158;61.94355;17.58439;-20.5;79.49547;95.51405;"OFF";
1;58.4323426;1.01158;87.38914;17.85559;-20.5;104.7918;95.77433;"OFF";
1;59.0166661;1.01158;84.44529;17.61677;-20.5;101.6902;95.5246;"OFF";
1;59.6068327;1.01158;83.53356;17.24789;-20.5;100.6009;95.14481;"OFF";
1;60.2029011;1.01158;83.68933;17.02902;-20.6;100.5781;94.91653;"OFF";
1;60.8049301;1.01158;85.20609;17.38014;-20.6;101.9142;95.2612;"OFF";
1;61.4129794;1.011579;87.53816;18.13129;-20.7;104.0595;96.00589;"OFF";
1;62.0271092;1.011579;87.39468;19.34245;-20.7;103.7254;97.21059;"OFF";
1;62.6473802;1.011579;89.52702;20.49361;-20.8;105.6463;98.35529;"OFF";
1;63.2738541;1.011579;90.81277;21.24476;-20.8;106.7081;99.09999;"OFF";
1;63.9065926;1.011579;91.43062;21.3659;-20.8;107.0859;99.21468;"OFF";
1;64.5456585;1.01158;92.41783;21.19705;-20.9;107.8298;99.03938;"OFF";
1;65.1911151;1.01158;93.77982;21.23826;-21;108.9506;99.07413;"OFF";
1;65.8430263;1.01158;95.13206;21.75966;-21;110.0682;99.58908;"OFF";
1;66.5014565;1.01158;96.42874;22.46107;-21.1;111.1175;100.284;"OFF";
1;67.1664711;1.011579;97.65952;23.19252;-21.2;112.0908;101.009;"OFF";
1;67.8381358;1.011579;98.99064;23.9142;-21.2;113.1466;101.7242;"OFF";
1;68.5165171;1.011579;100.3439;24.52587;-21.2;114.2162;102.3295;"OFF";
1;69.2016823;1.011579;101.5222;25.10752;-21.2;115.109;102.9047;"OFF";
1;69.8936991;1.011579;102.6287;25.56904;-21.2;115.932;103.3597;"OFF";
1;70.5926361;1.01158;103.4712;25.85056;-21.1;116.4816;103.6213;"OFF";
1;71.2985625;1.01158;103.9741;25.82207;-21.1;116.6911;103.5705;"OFF";
1;72.0115481;1.01158;104.6491;25.94356;-21;117.0746;103.6696;"OFF";
1;72.7316636;1.01158;105.4063;26.12505;-21;117.5504;103.8287;"OFF";
1;73.4589802;1.01158;106.0306;26.24648;-20.9;117.9139;103.9278;"OFF";
